CiteKey,Lat,Lon,Class,FishFamily,FishSp,SppGrouped,HighlyMigratory,HabitatZone,Lifestage,HabitatType,HabitatSpecies,HabitatFunction,MicroHabitat,ObsType,DepthZone,AreaOfStudy,FisheryImpact,FishStock,FishStockReason,NotesFishery,,Notes
abookire2007habitat,57.68,-152.38,actinopterygii,gadidae,gadus macrocephalus,,,benthopelagic,juvenile,seagrass; macroalgae; soft-sediment,desmarestia aculeata; laminaria sp.; agarum clathratum; ulva fenestrata; fucus gardneri; zostera marina,food,sea cucumber mound,catch-survey,<50,>100ha,,,,,,higher density of fish were observed near sea cucumber mounds
dean2000distribution,60.33,-147.5,actinopterygii,gadidae,gadus macrocephalus,,,benthopelagic,juvenile,seagrass,zostera marina; agarum cribrosum; laminaria saccharina,na,,direct,<50,<1ha,,,,,,
dean2000distribution,60.33,-147.5,actinopterygii,gadidae,gadus macrocephalus,,,benthopelagic,adult,seagrass,zostera marina; agarum cribrosum; laminaria saccharina,na,,direct,<50,<1ha,,,,,,
dean2000distribution,60.33,-147.5,actinopterygii,hexagrammidae,hexagrammos decagrammus,,,benthopelagic,adult,seagrass; macroalgae,zostera marina; nereocystis luetkeana; agarum cribrosum; laminaria saccharina; laminaria bongardiana,food; shelter,,direct,<50,<1ha,,,,,,majority of fish found in areas where a canopy of nereocystis existed
dean2000distribution,60.33,-147.5,actinopterygii,hexagrammidae,ophiodon elongatus,,,benthopelagic,adult,seagrass; macroalgae,zostera marina; nereocystis luetkeana; agarum cribrosum; laminaria saccharina; laminaria bongardiana,food; shelter,,direct,<50,<1ha,,,,,,majority of fish found in areas where a canopy of nereocystis existed
dean2000distribution,60.33,-147.5,actinopterygii,sebastidae,sebastes ciliatus,,,benthopelagic,adult,seagrass; macroalgae,nereocystis luetkeana; agarum cribrosum; laminaria saccharina; laminaria bongardiana,food; shelter,,direct,<50,<1ha,,,,,,
dean2000distribution,60.33,-147.5,actinopterygii,gadidae,theragra chalcogramma,,,benthopelagic,juvenile,seagrass; macroalgae,nereocystis luetkeana; laminaria bongardiana; agarum cribrosum and laminaria saccharina ,na,,direct,<50,<1ha,,,,,,low frequency of fish school observations occurred during dives
dean2000distribution,60.33,-147.5,actinopterygii,clupeidae,clupea pallasii,,,epipelagic,juvenile,seagrass; macroalgae,nereocystis luetkeana; agarum cribrosum; laminaria saccharina; laminaria bongardiana,na,,direct,<50,<1ha,,,,,,low frequency of fish school observations occurred during dives
tissot2007habitat,44.08,-124.86,actinopterygii,sebastidae,sebastes flavidus,,,benthopelagic,juvenile,rock,,food; shelter,rock ridges and large boulders,direct,<200,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible
tissot2007habitat,44.08,-124.86,actinopterygii,sebastidae,sebastes flavidus,,,benthopelagic,adult,rock; mud,,food; shelter,boulder-cobbles surrounded by mud,direct,<200,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible; rockfish at this depth live in different microhabitats and have divergent jaw morphologies and consume different prey items.
tissot2007habitat,44.08,-124.86,actinopterygii,sebastidae,sebastes ruberrimus,,,benthopelagic,juvenile,rock,,food; shelter,rock ridges and large boulders,direct,<200,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible
tissot2007habitat,44.08,-124.86,actinopterygii,sebastidae,sebastes ruberrimus,,,benthopelagic,adult,rock; mud,,food; shelter,boulder-cobbles surrounded by mud,direct,<200,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible; rockfish at this depth live in different microhabitats and have divergent jaw morphologies and consume different prey items.
tissot2007habitat,44.08,-124.86,actinopterygii,hexagrammidae,ophiodon elongatus,,,benthopelagic,juvenile,rock,,food; shelter,rock ridges and large boulders,direct,<200,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible
tissot2007habitat,44.08,-124.86,actinopterygii,hexagrammidae,ophiodon elongatus,,,benthopelagic,adult,rock; mud,,food; shelter,boulder-cobbles surrounded by mud,direct,<200,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible; rockfish at this depth live in different microhabitats and have divergent jaw morphologies and consume different prey items.
tissot2007habitat,44.08,-124.86,actinopterygii,sebastidae,sebastes pinniger,,,benthopelagic,juvenile,rock,,food; shelter,rock ridges and large boulders,direct,<200,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible
tissot2007habitat,44.08,-124.86,actinopterygii,sebastidae,sebastes pinniger,,,benthopelagic,adult,rock; mud,,food; shelter,boulder-cobbles surrounded by mud,direct,<200,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible; rockfish at this depth live in different microhabitats and have divergent jaw morphologies and consume different prey items.
tissot2007habitat,44.08,-124.86,actinopterygii,sebastidae,sebastes helvomaculatus,,,benthopelagic,juvenile,rock,,food; shelter,rock ridges and large boulders,direct,<200,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible
tissot2007habitat,44.08,-124.86,actinopterygii,sebastidae,sebastes helvomaculatus,,,benthopelagic,adult,rock; mud,,food; shelter,boulder-cobbles surrounded by mud,direct,<200,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible; rockfish at this depth live in different microhabitats and have divergent jaw morphologies and consume different prey items.
tissot2007habitat,44.08,-124.86,actinopterygii,sebastidae,sebastes elongatus,,,benthopelagic,juvenile,rock,,food; shelter,rock ridges and large boulders,direct,<200,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible
tissot2007habitat,44.08,-124.86,actinopterygii,sebastidae,sebastes elongatus,,,benthopelagic,adult,rock; mud,,food; shelter,boulder-cobbles surrounded by mud,direct,<200,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible; rockfish at this depth live in different microhabitats and have divergent jaw morphologies and consume different prey items.
tissot2007habitat,44.08,-124.86,actinopterygii,sebastidae,sebastes zacentrus,,,benthopelagic,juvenile,rock,,food; shelter,rock ridges and large boulders,direct,<200,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible
tissot2007habitat,44.08,-124.86,actinopterygii,sebastidae,sebastes zacentrus,,,benthopelagic,adult,rock; mud,,food; shelter,boulder-cobbles surrounded by mud,direct,<200,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible; rockfish at this depth live in different microhabitats and have divergent jaw morphologies and consume different prey items.
tissot2007habitat,44.08,-124.86,actinopterygii,sebastidae,sebastolobus alascanus,,,benthopelagic,juvenile,rock,,food; shelter,rock ridges and large boulders,direct,<200,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible
tissot2007habitat,44.08,-124.86,actinopterygii,sebastidae,sebastolobus alascanus,,,benthopelagic,adult,rock; mud,,food; shelter,boulder-cobbles surrounded by mud,direct,<200,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible; rockfish at this depth live in different microhabitats and have divergent jaw morphologies and consume different prey items.
tissot2007habitat,44.08,-124.86,actinopterygii,pleuronectidae,microstomus pacificus,,,benthopelagic,adult,mud,,food,,direct,<1000,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible
tissot2007habitat,44.08,-124.86,actinopterygii,pleuronectidae,glyptocephalus zachirus,,,benthopelagic,adult,mud,,food,,direct,<1000,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible
tissot2007habitat,44.08,-124.86,actinopterygii,anoplopomatidae,anoplopoma fimbria,,,benthopelagic,adult,mud,,food,,direct,<1000,<100ha,,,,,,observed on a sloping ridge in an underwater canyon by 2 man submersible
hurst2016shallow,56,-160.67,actinopterygii,pleuronectidae,lepidopsetta polyxystra,,,benthopelagic,juvenile,sand,,na,fine grain sand sediments,catch-survey,<50,>100ha,,,,,,
hurst2016shallow,56,-160.67,actinopterygii,pleuronectidae,lepidopsetta polyxystra,,,benthopelagic,adult,sand,,na,coarse grain sand sediments,catch-survey,<50,>100ha,,,,,,
hurst2016shallow,56,-160.67,actinopterygii,pleuronectidae,hippoglossus stenolepis,,,benthopelagic,juvenile,sand,,na,fine grain sand sediments,catch-survey,<50,>100ha,,,,,,
hurst2016shallow,56,-160.67,actinopterygii,pleuronectidae,atheresthes stomias,,,benthopelagic,juvenile,sand,,na,fine grain sand sediments,catch-survey,<50,>100ha,,,,,,the low catch of this species suggests that the coastal waters along the alaska peninsula are not its primary nursery habitat 
hurst2016shallow,56,-160.67,actinopterygii,pleuronectidae,limanda aspera,,,benthopelagic,juvenile,sand,,na,fine grain sand sediments,catch-survey,<50,>100ha,,,,,,
hurst2016shallow,56,-160.67,actinopterygii,pleuronectidae,limanda aspera,,,benthopelagic,adult,sand,,na,fine grain sand sediments,catch-survey,<50,>100ha,,,,,,
