Lat,Lon,FishSp,HabitatType
57.68,-152.38,gadus macrocephalus,seagrass
57.68,-152.38,gadus macrocephalus,macroalgae
57.68,-152.38,gadus macrocephalus,soft-sediment
60.33,-147.5,gadus macrocephalus,seagrass
60.33,-147.5,hexagrammos decagrammus,seagrass
60.33,-147.5,hexagrammos decagrammus,macroalgae
60.33,-147.5,ophiodon elongatus,seagrass
60.33,-147.5,ophiodon elongatus,macroalgae
60.33,-147.5,sebastes ciliatus,seagrass
60.33,-147.5,sebastes ciliatus,macroalgae
60.33,-147.5,theragra chalcogramma,seagrass
60.33,-147.5,theragra chalcogramma,macroalgae
60.33,-147.5,clupea pallasii,seagrass
60.33,-147.5,clupea pallasii,macroalgae
44.08,-124.86,sebastes flavidus,rock
44.08,-124.86,sebastes flavidus,mud
44.08,-124.86,sebastes ruberrimus,rock
44.08,-124.86,sebastes ruberrimus,mud
44.08,-124.86,ophiodon elongatus,rock
44.08,-124.86,ophiodon elongatus,mud
44.08,-124.86,sebastes pinniger,rock
44.08,-124.86,sebastes pinniger,mud
44.08,-124.86,sebastolobus alascanus,rock
44.08,-124.86,sebastolobus alascanus,mud
44.08,-124.86,microstomus pacificus,mud
44.08,-124.86,glyptocephalus zachirus,mud
44.08,-124.86,anoplopoma fimbria,mud
56,-160.67,lepidopsetta polyxystra,sand
56,-160.67,hippoglossus stenolepis,sand
56,-160.67,atheresthes stomias,sand
56,-160.67,reinhardtius stomias,sand
56,-160.67,limanda aspera,sand
56,-160.67,platichthys stellatus,sand
56.33,-2,ammodytes marinus,sand
53.7,-5.1,clupea harengus,
54.2,-5.1,clupea harengus,
53.7,-4.9,gadus morhua,
54.2,-4,gadus morhua,
53.7,-4.9,glyptocephalus cynoglossus,
53.7,-4.9,hippoglossoides platessoides,
54.2,-4,hippoglossoides platessoides,
53.7,-4.9,merlangius merlangus,
54.2,-4,merlangius merlangus,
53.7,-4.9,pleuronectes platessa,
54.2,-4,pleuronectes platessa,
53.7,-4.9,scomber scombrus,
54.2,-4,scomber scombrus,
53.7,-4.9,sprattus sprattus,
54.2,-4,sprattus sprattus,
52,-140,theragra chalcogramma,
55,-152,theragra chalcogramma,
53,-163,theragra chalcogramma,
60,-170,theragra chalcogramma,
52,-140,theragra chalcogramma,soft-sediment
52,-140,theragra chalcogramma,rock
55,-152,theragra chalcogramma,soft-sediment
55,-152,theragra chalcogramma,rock
53,-163,theragra chalcogramma,soft-sediment
53,-163,theragra chalcogramma,rock
60,-170,theragra chalcogramma,soft-sediment
60,-170,theragra chalcogramma,rock
52,-180,theragra chalcogramma,soft-sediment
52,-180,theragra chalcogramma,rock
55.22,-156.4,gadus macrocephalus,soft-sediment
55.22,-156.4,gadus macrocephalus,rock
56.99,-155.43,gadus macrocephalus,soft-sediment
56.99,-155.43,gadus macrocephalus,rock
55.22,-156.4,gadus macrocephalus,
56.99,-155.43,gadus macrocephalus,
58.22,-150.73,gadus macrocephalus,
53.61,-162.99,gadus macrocephalus,
56.51,-165.61,gadus macrocephalus,
34.32,-125.5,gadus macrocephalus,soft-sediment
34.32,-125.5,gadus macrocephalus,rock
36.5,-126.5,gadus macrocephalus,soft-sediment
36.5,-126.5,gadus macrocephalus,rock
38.8,-126.5,gadus macrocephalus,soft-sediment
38.8,-126.5,gadus macrocephalus,rock
40.6,-127,gadus macrocephalus,soft-sediment
40.6,-127,gadus macrocephalus,rock
43.6,-127,gadus macrocephalus,soft-sediment
43.6,-127,gadus macrocephalus,rock
46.6,-128.4,gadus macrocephalus,soft-sediment
46.6,-128.4,gadus macrocephalus,rock
49.2,-130.2,gadus macrocephalus,soft-sediment
49.2,-130.2,gadus macrocephalus,rock
52.25,-134.3,gadus macrocephalus,soft-sediment
52.25,-134.3,gadus macrocephalus,rock
55.8,-137.8,gadus macrocephalus,soft-sediment
55.8,-137.8,gadus macrocephalus,rock
58.2,-140.5,gadus macrocephalus,soft-sediment
58.2,-140.5,gadus macrocephalus,rock
58.8,-145.7,gadus macrocephalus,soft-sediment
58.8,-145.7,gadus macrocephalus,rock
58.1,-150.1,gadus macrocephalus,soft-sediment
58.1,-150.1,gadus macrocephalus,rock
55.5,-154.4,gadus macrocephalus,soft-sediment
55.5,-154.4,gadus macrocephalus,rock
54.7,-158.1,gadus macrocephalus,soft-sediment
54.7,-158.1,gadus macrocephalus,rock
53.9,-161.4,gadus macrocephalus,soft-sediment
53.9,-161.4,gadus macrocephalus,rock
52.8,-166.28,gadus macrocephalus,soft-sediment
52.8,-166.28,gadus macrocephalus,rock
52.29,-170.1,gadus macrocephalus,soft-sediment
52.29,-170.1,gadus macrocephalus,rock
57.04,-161.01,gadus macrocephalus,soft-sediment
57.04,-161.01,gadus macrocephalus,rock
56.6,-165.4,gadus macrocephalus,soft-sediment
56.6,-165.4,gadus macrocephalus,rock
58.79,-167.78,gadus macrocephalus,soft-sediment
58.79,-167.78,gadus macrocephalus,rock
61.69,-167.1,gadus macrocephalus,soft-sediment
61.69,-167.1,gadus macrocephalus,rock
60.99,-169.8,gadus macrocephalus,soft-sediment
60.99,-169.8,gadus macrocephalus,rock
52,-140,anoplopoma fimbria,
55,-152,anoplopoma fimbria,
53,-163,anoplopoma fimbria,
52,-180,anoplopoma fimbria,
60,-170,anoplopoma fimbria,
52,-140,anoplopoma fimbria,mud
52,-140,anoplopoma fimbria,sand
52,-140,anoplopoma fimbria,soft-sediment
52,-140,anoplopoma fimbria,rock
55,-152,anoplopoma fimbria,mud
55,-152,anoplopoma fimbria,sand
55,-152,anoplopoma fimbria,soft-sediment
55,-152,anoplopoma fimbria,rock
53,-163,anoplopoma fimbria,mud
53,-163,anoplopoma fimbria,sand
53,-163,anoplopoma fimbria,soft-sediment
53,-163,anoplopoma fimbria,rock
52,-180,anoplopoma fimbria,mud
52,-180,anoplopoma fimbria,sand
52,-180,anoplopoma fimbria,soft-sediment
52,-180,anoplopoma fimbria,rock
60,-170,anoplopoma fimbria,mud
60,-170,anoplopoma fimbria,sand
60,-170,anoplopoma fimbria,soft-sediment
60,-170,anoplopoma fimbria,rock
55,-152,limanda aspera,mud
55,-152,limanda aspera,sand
55,-152,limanda aspera,soft-sediment
53,-163,limanda aspera,mud
53,-163,limanda aspera,sand
53,-163,limanda aspera,soft-sediment
52,-180,limanda aspera,mud
52,-180,limanda aspera,sand
52,-180,limanda aspera,soft-sediment
60,-170,limanda aspera,mud
60,-170,limanda aspera,sand
60,-170,limanda aspera,soft-sediment
55,-152,lepidopsetta polyxystra,mud
55,-152,lepidopsetta polyxystra,sand
